TaxID,Order,Family,Genus,species,AdultBodyMass_g,GenerationLength_d,Sources_AdultBodyMass,Max_longevity_d,Sources_Max_longevity,Rspan_d,AFR_d,Data_AFR,Calculated_GL_d,,Sources_GL
15311,Carnivora,Felidae,Leopardus,Leopardus_guigna,2200,2190,Smith_et_al._2003,6205,Carn_Ung,no_information,456,calculated,no_information,,GMA
15452,Carnivora,Felidae,Leopardus,Leopardus_jacobita,8133.78,1392.97,Verde_Arregoitia_et_al._2013,4015,Carn_ung,3693,322,calculated,1392.97,,Rspan-ASMmales
11509,Carnivora,Felidae,Leopardus,Leopardus_pardalis,11880,3011.876283,PanTHERIA,8370.666667,PanTHERIA;AnAge;_Carn_ung,7771.521667,758.135,calculated,3011.876283,,Rspan-AFR(SM+Gest)
11510,Carnivora,Felidae,Leopardus,Leopardus_tigrinus,2250,2190,Smith_et_al._2003,7993.5,AnAge;Carn_Ung,7153.5,840,calculated,2914.515,,GMA
11511,Carnivora,Felidae,Leopardus,Leopardus_wiedii,3270.81,2190,PanTHERIA,7786.666667,PanTHERIA;AnAge;Carn_Ung,7056.666667,730,calculated,2776.433333,,GMA
136691,Rodentia,Muridae,Leopoldamys,Leopoldamys_ciliatus,360.12,639.6318318,Verde_Arregoitia_et_al._2013,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
11518,Rodentia,Muridae,Leopoldamys,Leopoldamys_edwardsi,308.82,639.6318318,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
136418,Rodentia,Muridae,Leopoldamys,Leopoldamys_milleti,300,639.6318318,Verde_Arregoitia_et_al._2013,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
11519,Rodentia,Muridae,Leopoldamys,Leopoldamys_neilli,378.51,639.6318318,Mean_congenerics,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
11520,Rodentia,Muridae,Leopoldamys,Leopoldamys_sabanus,347.61,639.6318318,PanTHERIA,730,PanTHERIA,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
11521,Rodentia,Muridae,Leopoldamys,Leopoldamys_siporanus,576,639.6318318,Verde_Arregoitia_et_al._2013,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
136376,Primates,Lepilemuridae,Lepilemur,Lepilemur_aeeclis,726.98875,1637.770967,Mean_congenerics,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
136843,Primates,Lepilemuridae,Lepilemur,Lepilemur_ahmansonorum,726.98875,1637.770967,Mean_congenerics,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
136731,Primates,Lepilemuridae,Lepilemur,Lepilemur_ankaranensis,750,1637.770967,Smith_et_al._2003,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
136662,Primates,Lepilemuridae,Lepilemur,Lepilemur_betsileo,726.98875,1637.770967,Mean_congenerics,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
11616,Primates,Lepilemuridae,Lepilemur,Lepilemur_dorsalis,503.85,1637.770967,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
11617,Primates,Lepilemuridae,Lepilemur,Lepilemur_edwardsi,821.58,1637.770967,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
136263,Primates,Lepilemuridae,Lepilemur,Lepilemur_fleuretae,726.98875,1637.770967,Mean_congenerics,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
